Kelas,precision,recall,f1-score,support
Status: Arc Flash,0.7976608187134503,0.8649334178820546,0.8299361119561911,1577.0
Status: Normal,0.9339752407152683,0.8092967818831943,0.8671775223499362,839.0
Status: Off Contact,0.8045023696682464,0.784971098265896,0.7946167349327092,865.0
accuracy,0.8296251142944224,0.8296251142944224,0.8296251142944224,0.8296251142944224
macro avg,0.8453794763656549,0.8197337660103816,0.8305767897462788,3281.0
weighted avg,0.8343221236922445,0.8296251142944224,0.8301477188428232,3281.0
