Waktu Relatif (detik),Tegangan (V),Arus (A),Mean Tegangan (V),Std Dev Tegangan (V),Mean Arus (A),Std Dev Arus (A),Output Sistem Aktual,Output Sistem yang Diharapkan,Akurasi
0.24,15.68,0.12000000,150.18,94.34,0.08860000,0.03200062,Status: Arc Flash,Status: Arc Flash,Sesuai
0.50,146.99,0.07000000,152.17,93.18,0.08860000,0.03200062,Status: Arc Flash,Status: Arc Flash,Sesuai
0.78,165.74,0.07000000,150.04,91.61,0.08860000,0.03200062,Status: Arc Flash,Status: Arc Flash,Sesuai
1.07,124.36,0.04000000,148.82,91.53,0.08760000,0.03271452,Status: Arc Flash,Status: Arc Flash,Sesuai
1.33,175.55,0.07000000,147.24,90.37,0.08660000,0.03247214,Status: Arc Flash,Status: Arc Flash,Sesuai
1.59,140.27,0.09000000,148.13,90.08,0.08640000,0.03241975,Status: Arc Flash,Status: Arc Flash,Sesuai
1.81,295.38,0.04000000,150.36,92.29,0.08620000,0.03267354,Status: Arc Flash,Status: Arc Flash,Sesuai
2.06,182.08,0.11000000,150.66,92.37,0.08660000,0.03283961,Status: Arc Flash,Status: Arc Flash,Sesuai
2.34,238.41,0.07000000,154.55,91.88,0.08540000,0.03232398,Status: Arc Flash,Status: Arc Flash,Sesuai
2.63,76.19,0.05000000,152.23,92.36,0.08460000,0.03269312,Status: Arc Flash,Status: Arc Flash,Sesuai
2.91,172.00,0.12000000,150.19,90.77,0.08440000,0.03244441,Status: Arc Flash,Status: Arc Flash,Sesuai
3.18,131.46,0.10000000,149.21,90.70,0.08380000,0.03186785,Status: Arc Flash,Status: Arc Flash,Sesuai
3.43,267.71,0.12000000,149.29,90.81,0.08540000,0.03163606,Status: Arc Flash,Status: Arc Flash,Sesuai
3.66,124.92,0.09000000,147.26,90.19,0.08580000,0.03156517,Status: Arc Flash,Status: Arc Flash,Sesuai
3.93,269.09,0.14000000,147.64,90.67,0.08660000,0.03241049,Status: Arc Flash,Status: Arc Flash,Sesuai
4.17,75.74,0.10000000,148.90,89.21,0.08640000,0.03229613,Status: Arc Flash,Status: Arc Flash,Sesuai
4.44,224.50,0.14000000,151.95,89.14,0.08760000,0.03313970,Status: Arc Flash,Status: Arc Flash,Sesuai
4.67,131.31,0.08000000,154.28,87.02,0.08660000,0.03259509,Status: Arc Flash,Status: Arc Flash,Sesuai
4.95,175.39,0.14000000,152.18,85.21,0.08780000,0.03342394,Status: Arc Flash,Status: Arc Flash,Sesuai
5.18,109.73,0.09000000,151.47,85.41,0.08900000,0.03238827,Status: Arc Flash,Status: Arc Flash,Sesuai
5.46,86.99,0.11000000,148.38,84.90,0.09040000,0.03174650,Status: Arc Flash,Status: Arc Flash,Sesuai
5.75,207.98,0.06000000,150.24,85.17,0.09020000,0.03190549,Status: Arc Flash,Status: Arc Flash,Sesuai
5.99,88.02,0.04000000,149.55,85.52,0.08960000,0.03255518,Status: Arc Flash,Status: Arc Flash,Sesuai
6.24,237.99,0.07000000,153.82,84.50,0.09020000,0.03190549,Status: Arc Flash,Status: Arc Flash,Sesuai
6.48,77.67,0.13000000,153.61,84.67,0.09100000,0.03238827,Status: Arc Flash,Status: Arc Flash,Sesuai
6.71,124.77,0.04000000,155.04,83.56,0.08880000,0.03203998,Status: Arc Flash,Status: Arc Flash,Sesuai
7.00,243.15,0.03000000,158.08,83.95,0.08700000,0.03275668,Status: Arc Flash,Status: Arc Flash,Sesuai
7.29,40.77,0.09000000,153.56,84.05,0.08640000,0.03241975,Status: Arc Flash,Status: Arc Flash,Sesuai
7.56,39.04,0.03000000,150.55,85.40,0.08500000,0.03330165,Status: Arc Flash,Status: Arc Flash,Sesuai
7.79,233.27,0.08000000,152.72,86.09,0.08440000,0.03311556,Status: Arc Flash,Status: Arc Flash,Sesuai
8.09,274.82,0.15000000,152.34,85.51,0.08540000,0.03430510,Status: Arc Flash,Status: Arc Flash,Sesuai
8.32,130.40,0.12000000,154.66,83.28,0.08640000,0.03456935,Status: Arc Flash,Status: Arc Flash,Sesuai
8.55,209.84,0.09000000,153.27,81.76,0.08580000,0.03423974,Status: Arc Flash,Status: Arc Flash,Sesuai
8.80,36.31,0.06000000,152.69,82.48,0.08560000,0.03436044,Status: Arc Flash,Status: Arc Flash,Sesuai
9.10,276.38,0.08000000,152.84,82.70,0.08500000,0.03419064,Status: Arc Flash,Status: Arc Flash,Sesuai
9.34,0.00,0.00000000,147.43,83.66,0.08240000,0.03558427,Status: Arc Flash,Status: Off Contact,Tidak Sesuai
9.57,0.00,0.00000000,147.08,84.25,0.08120000,0.03729021,Status: Arc Flash,Status: Off Contact,Tidak Sesuai
9.83,0.00,0.00000000,142.93,86.26,0.08060000,0.03833588,Status: Arc Flash,Status: Off Contact,Tidak Sesuai
10.13,0.00,0.00000000,142.64,86.73,0.08000000,0.03934463,Status: Arc Flash,Status: Off Contact,Tidak Sesuai
10.36,0.00,0.00000000,137.69,87.67,0.07900000,0.04070626,Status: Arc Flash,Status: Off Contact,Tidak Sesuai
10.63,0.00,0.00000000,137.18,88.38,0.07700000,0.04205948,Status: Arc Flash,Status: Off Contact,Tidak Sesuai
10.87,0.00,0.00000000,133.65,90.25,0.07520000,0.04337004,Status: Arc Flash,Status: Off Contact,Tidak Sesuai
11.10,0.00,0.00000000,130.77,92.15,0.07300000,0.04432832,Status: Arc Flash,Status: Off Contact,Tidak Sesuai
11.39,0.00,0.00000000,130.64,92.33,0.07040000,0.04471957,Status: Arc Flash,Status: Off Contact,Tidak Sesuai
11.68,0.00,0.00000000,127.69,94.09,0.06920000,0.04577510,Status: Arc Flash,Status: Off Contact,Tidak Sesuai
11.96,0.00,0.00000000,123.81,95.26,0.06820000,0.04672002,Status: Arc Flash,Status: Off Contact,Tidak Sesuai
12.26,0.00,0.00000000,120.32,96.53,0.06640000,0.04757142,Status: Arc Flash,Status: Off Contact,Tidak Sesuai
12.49,0.00,0.00000000,115.74,96.70,0.06380000,0.04757689,Status: Arc Flash,Status: Off Contact,Tidak Sesuai
12.72,0.00,0.00000000,111.35,96.87,0.06280000,0.04837520,Status: Arc Flash,Status: Off Contact,Tidak Sesuai
13.00,0.00,0.00000000,111.00,97.25,0.06060000,0.04867895,Status: Arc Flash,Status: Off Contact,Tidak Sesuai
13.25,0.00,0.00000000,110.68,97.58,0.05820000,0.04864936,Status: Arc Flash,Status: Off Contact,Tidak Sesuai
13.53,0.00,0.00000000,107.74,98.65,0.05680000,0.04929260,Status: Arc Flash,Status: Off Contact,Tidak Sesuai
13.81,0.00,0.00000000,104.43,99.42,0.05540000,0.04988828,Status: Off Contact,Status: Off Contact,Sesuai
14.07,0.00,0.00000000,101.94,100.44,0.05460000,0.05044641,Status: Off Contact,Status: Off Contact,Sesuai
14.31,0.00,0.00000000,98.43,100.88,0.05320000,0.05096823,Status: Off Contact,Status: Off Contact,Sesuai
14.60,0.00,0.00000000,95.63,101.62,0.05140000,0.05122538,Status: Off Contact,Status: Off Contact,Sesuai
14.86,0.00,0.00000000,89.72,98.37,0.05060000,0.05170725,Status: Off Contact,Status: Off Contact,Sesuai
15.11,0.00,0.00000000,86.08,98.26,0.04840000,0.05147271,Status: Off Contact,Status: Off Contact,Sesuai
