Waktu Relatif (detik),Tegangan (V),Arus (A),Mean Tegangan (V),Std Dev Tegangan (V),Mean Arus (A),Std Dev Arus (A),Output Sistem Aktual,Output Sistem yang Diharapkan,Akurasi
0.24,19.68,0.09000000,143.66,84.48,0.08640000,0.03135347,Status: Arc Flash,Status: Arc Flash,Sesuai
0.50,84.97,0.04000000,141.28,84.43,0.08460000,0.03138216,Status: Arc Flash,Status: Arc Flash,Sesuai
0.73,157.00,0.08000000,143.98,82.70,0.08560000,0.03040789,Status: Arc Flash,Status: Arc Flash,Sesuai
0.99,116.55,0.15000000,142.96,82.72,0.08780000,0.03100258,Status: Arc Flash,Status: Arc Flash,Sesuai
1.22,131.84,0.05000000,142.19,82.64,0.08680000,0.03139682,Status: Arc Flash,Status: Arc Flash,Sesuai
1.49,108.88,0.13000000,138.42,79.72,0.08740000,0.03192554,Status: Arc Flash,Status: Arc Flash,Sesuai
1.72,28.80,0.03000000,134.39,80.07,0.08660000,0.03283961,Status: Arc Flash,Status: Arc Flash,Sesuai
1.97,223.97,0.07000000,134.84,80.51,0.08580000,0.03274691,Status: Arc Flash,Status: Arc Flash,Sesuai
2.21,18.53,0.14000000,133.01,82.07,0.08740000,0.03339521,Status: Arc Flash,Status: Arc Flash,Sesuai
2.48,66.37,0.11000000,133.35,81.77,0.08860000,0.03310649,Status: Arc Flash,Status: Arc Flash,Sesuai
2.75,242.12,0.08000000,133.25,81.64,0.08760000,0.03259202,Status: Arc Flash,Status: Arc Flash,Sesuai
2.98,174.30,0.06000000,136.59,79.81,0.08800000,0.03212476,Status: Arc Flash,Status: Arc Flash,Sesuai
3.22,299.13,0.14000000,140.64,82.76,0.08920000,0.03291443,Status: Arc Flash,Status: Arc Flash,Sesuai
3.49,43.11,0.06000000,137.52,83.43,0.08860000,0.03316685,Status: Arc Flash,Status: Arc Flash,Sesuai
3.76,209.85,0.11000000,138.64,84.02,0.08880000,0.03326500,Status: Arc Flash,Status: Arc Flash,Sesuai
4.05,112.64,0.12000000,139.19,83.76,0.08940000,0.03355056,Status: Arc Flash,Status: Arc Flash,Sesuai
4.33,292.85,0.04000000,143.81,85.71,0.08940000,0.03355056,Status: Arc Flash,Status: Arc Flash,Sesuai
4.61,182.72,0.05000000,143.00,85.14,0.08880000,0.03397882,Status: Arc Flash,Status: Arc Flash,Sesuai
4.83,166.69,0.05000000,141.45,83.98,0.08840000,0.03431385,Status: Arc Flash,Status: Arc Flash,Sesuai
5.11,211.48,0.04000000,142.14,84.41,0.08800000,0.03475629,Status: Arc Flash,Status: Arc Flash,Sesuai
5.37,284.10,0.12000000,145.39,86.66,0.08780000,0.03454215,Status: Arc Flash,Status: Arc Flash,Sesuai
5.61,231.77,0.04000000,144.12,84.91,0.08620000,0.03486488,Status: Arc Flash,Status: Arc Flash,Sesuai
5.84,229.57,0.12000000,145.22,85.65,0.08640000,0.03502913,Status: Arc Flash,Status: Arc Flash,Sesuai
6.12,186.09,0.05000000,143.56,84.02,0.08480000,0.03482758,Status: Arc Flash,Status: Arc Flash,Sesuai
6.38,234.83,0.10000000,148.09,82.70,0.08620000,0.03399353,Status: Arc Flash,Status: Arc Flash,Sesuai
6.63,154.04,0.13000000,148.33,82.70,0.08600000,0.03370460,Status: Arc Flash,Status: Arc Flash,Sesuai
6.88,222.31,0.04000000,151.09,82.82,0.08520000,0.03430685,Status: Arc Flash,Status: Arc Flash,Sesuai
7.13,181.04,0.14000000,153.14,82.27,0.08540000,0.03459538,Status: Arc Flash,Status: Arc Flash,Sesuai
7.36,179.90,0.07000000,152.95,82.20,0.08460000,0.03447956,Status: Arc Flash,Status: Arc Flash,Sesuai
7.60,177.03,0.07000000,154.84,81.65,0.08360000,0.03416197,Status: Arc Flash,Status: Arc Flash,Sesuai
7.87,131.39,0.08000000,155.08,81.56,0.08380000,0.03411100,Status: Arc Flash,Status: Arc Flash,Sesuai
8.16,292.79,0.08000000,159.44,82.96,0.08360000,0.03410337,Status: Arc Flash,Status: Arc Flash,Sesuai
8.39,96.04,0.10000000,155.83,81.70,0.08400000,0.03417601,Status: Arc Flash,Status: Arc Flash,Sesuai
8.62,283.89,0.05000000,161.13,81.24,0.08420000,0.03394643,Status: Arc Flash,Status: Arc Flash,Sesuai
8.90,134.78,0.11000000,163.39,78.87,0.08500000,0.03407345,Status: Arc Flash,Status: Arc Flash,Sesuai
9.17,17.81,0.14000000,162.53,80.20,0.08660000,0.03473385,Status: Arc Flash,Status: Arc Flash,Sesuai
9.45,201.74,0.06000000,161.14,78.89,0.08480000,0.03371884,Status: Arc Flash,Status: Arc Flash,Sesuai
9.73,16.55,0.15000000,159.81,80.72,0.08600000,0.03492850,Status: Arc Flash,Status: Arc Flash,Sesuai
9.99,178.60,0.08000000,159.24,80.48,0.08520000,0.03459711,Status: Arc Flash,Status: Arc Flash,Sesuai
10.23,0.00,0.00000000,158.14,82.26,0.08400000,0.03644173,Status: Arc Flash,Status: Off Contact,Tidak Sesuai
10.52,0.00,0.00000000,155.80,85.01,0.08320000,0.03781217,Status: Arc Flash,Status: Off Contact,Tidak Sesuai
10.78,0.00,0.00000000,153.80,87.44,0.08140000,0.03954795,Status: Arc Flash,Status: Off Contact,Tidak Sesuai
11.06,0.00,0.00000000,151.22,90.00,0.07980000,0.04115775,Status: Arc Flash,Status: Off Contact,Tidak Sesuai
11.34,0.00,0.00000000,149.19,92.21,0.07860000,0.04256806,Status: Arc Flash,Status: Off Contact,Tidak Sesuai
11.63,0.00,0.00000000,144.40,93.61,0.07680000,0.04392903,Status: Arc Flash,Status: Off Contact,Tidak Sesuai
11.87,0.00,0.00000000,142.30,95.63,0.07440000,0.04477321,Status: Arc Flash,Status: Off Contact,Tidak Sesuai
12.10,0.00,0.00000000,140.90,97.17,0.07280000,0.04595824,Status: Arc Flash,Status: Off Contact,Tidak Sesuai
12.38,0.00,0.00000000,135.38,97.18,0.07080000,0.04689733,Status: Arc Flash,Status: Off Contact,Tidak Sesuai
12.61,0.00,0.00000000,130.84,98.09,0.06980000,0.04785353,Status: Arc Flash,Status: Off Contact,Tidak Sesuai
12.89,0.00,0.00000000,126.51,98.99,0.06740000,0.04828292,Status: Arc Flash,Status: Off Contact,Tidak Sesuai
13.18,0.00,0.00000000,126.12,99.45,0.06560000,0.04907790,Status: Arc Flash,Status: Off Contact,Tidak Sesuai
13.45,0.00,0.00000000,124.42,100.85,0.06480000,0.04980924,Status: Arc Flash,Status: Off Contact,Tidak Sesuai
13.71,0.00,0.00000000,121.28,102.23,0.06320000,0.05057430,Status: Arc Flash,Status: Off Contact,Tidak Sesuai
13.95,0.00,0.00000000,118.95,103.63,0.06020000,0.04977911,Status: Arc Flash,Status: Off Contact,Tidak Sesuai
14.23,0.00,0.00000000,116.31,104.93,0.05920000,0.05047138,Status: Arc Flash,Status: Off Contact,Tidak Sesuai
14.51,0.00,0.00000000,114.14,106.19,0.05660000,0.05010429,Status: Arc Flash,Status: Off Contact,Tidak Sesuai
14.75,0.00,0.00000000,113.56,106.73,0.05600000,0.05059644,Status: Arc Flash,Status: Off Contact,Tidak Sesuai
15.00,0.00,0.00000000,109.08,106.70,0.05460000,0.05115506,Status: Arc Flash,Status: Off Contact,Tidak Sesuai
15.27,0.00,0.00000000,108.71,107.04,0.05180000,0.05022708,Status: Arc Flash,Status: Off Contact,Tidak Sesuai
15.53,0.00,0.00000000,107.38,107.97,0.04960000,0.05003839,Status: Off Contact,Status: Off Contact,Sesuai
15.77,0.00,0.00000000,102.54,107.24,0.04800000,0.05031898,Status: Off Contact,Status: Off Contact,Sesuai
16.03,0.00,0.00000000,99.05,107.69,0.04680000,0.05073224,Status: Off Contact,Status: Off Contact,Sesuai
16.29,0.00,0.00000000,93.07,104.67,0.04400000,0.04935585,Status: Off Contact,Status: Off Contact,Sesuai
16.58,0.00,0.00000000,92.21,105.26,0.04280000,0.04968058,Status: Off Contact,Status: Off Contact,Sesuai
16.86,0.00,0.00000000,88.01,104.66,0.04060000,0.04908808,Status: Off Contact,Status: Off Contact,Sesuai
17.14,0.00,0.00000000,85.76,105.32,0.03820000,0.04807037,Status: Off Contact,Status: Off Contact,Sesuai
17.40,0.00,0.00000000,79.90,101.72,0.03740000,0.04836569,Status: Off Contact,Status: Off Contact,Sesuai
17.62,0.00,0.00000000,76.25,101.24,0.03640000,0.04861111,Status: Off Contact,Status: Off Contact,Sesuai
17.88,0.00,0.00000000,72.91,100.95,0.03540000,0.04883482,Status: Off Contact,Status: Off Contact,Sesuai
18.15,0.00,0.00000000,68.68,99.48,0.03460000,0.04907993,Status: Off Contact,Status: Off Contact,Sesuai
18.42,0.00,0.00000000,63.00,95.03,0.03220000,0.04776149,Status: Off Contact,Status: Off Contact,Sesuai
18.66,0.00,0.00000000,58.37,92.30,0.03140000,0.04795873,Status: Off Contact,Status: Off Contact,Sesuai
18.92,0.00,0.00000000,53.78,89.33,0.02900000,0.04644351,Status: Off Contact,Status: Off Contact,Sesuai
19.14,0.00,0.00000000,50.05,87.60,0.02800000,0.04651881,Status: Off Contact,Status: Off Contact,Sesuai
19.42,0.00,0.00000000,45.36,83.78,0.02600000,0.04551923,Status: Off Contact,Status: Off Contact,Sesuai
19.66,0.00,0.00000000,42.28,82.55,0.02340000,0.04315600,Status: Off Contact,Status: Off Contact,Sesuai
19.90,0.00,0.00000000,37.83,78.62,0.02260000,0.04321157,Status: Off Contact,Status: Off Contact,Sesuai
20.12,0.00,0.00000000,34.21,76.07,0.01980000,0.03992443,Status: Off Contact,Status: Off Contact,Sesuai
20.36,0.00,0.00000000,30.61,73.30,0.01840000,0.03936293,Status: Off Contact,Status: Off Contact,Sesuai
20.60,0.00,0.00000000,27.07,70.36,0.01700000,0.03874274,Status: Off Contact,Status: Off Contact,Sesuai
20.87,0.00,0.00000000,24.44,68.85,0.01540000,0.03774705,Status: Off Contact,Status: Off Contact,Sesuai
21.11,0.00,0.00000000,18.59,57.25,0.01380000,0.03665460,Status: Off Contact,Status: Off Contact,Sesuai
21.41,0.00,0.00000000,16.67,56.22,0.01180000,0.03456530,Status: Off Contact,Status: Off Contact,Sesuai
21.69,0.00,0.00000000,10.99,41.31,0.01080000,0.03416665,Status: Off Contact,Status: Off Contact,Sesuai
21.91,0.00,0.00000000,8.29,37.35,0.00860000,0.03111334,Status: Off Contact,Status: Off Contact,Sesuai
22.17,0.00,0.00000000,7.94,37.34,0.00580000,0.02482660,Status: Off Contact,Status: Off Contact,Sesuai
22.45,0.00,0.00000000,3.90,25.06,0.00460000,0.02359746,Status: Off Contact,Status: Off Contact,Sesuai
22.69,0.00,0.00000000,3.57,25.00,0.00160000,0.01120000,Status: Off Contact,Status: Off Contact,Sesuai
22.97,0.00,0.00000000,0.00,0.00,0.00000000,0.00000000,Status: Off Contact,Status: Off Contact,Sesuai
