Waktu Relatif (detik),Tegangan (V),Arus (A),Mean Tegangan (V),Std Dev Tegangan (V),Mean Arus (A),Std Dev Arus (A),Output Sistem Aktual,Output Sistem yang Diharapkan,Akurasi
0.30,169.09,0.03000000,134.40,87.78,0.09480000,0.03584634,Status: Arc Flash,Status: Arc Flash,Sesuai
0.53,299.74,0.10000000,139.89,89.34,0.09400000,0.03527038,Status: Arc Flash,Status: Arc Flash,Sesuai
0.76,240.91,0.15000000,140.74,90.09,0.09420000,0.03555784,Status: Arc Flash,Status: Arc Flash,Sesuai
1.03,285.70,0.04000000,144.89,91.87,0.09340000,0.03631033,Status: Arc Flash,Status: Arc Flash,Sesuai
1.30,85.07,0.06000000,143.84,92.25,0.09260000,0.03659563,Status: Arc Flash,Status: Arc Flash,Sesuai
1.56,229.89,0.09000000,144.64,92.82,0.09140000,0.03566567,Status: Arc Flash,Status: Arc Flash,Sesuai
1.84,97.01,0.07000000,146.39,91.06,0.09020000,0.03535477,Status: Arc Flash,Status: Arc Flash,Sesuai
2.13,204.66,0.08000000,148.43,91.20,0.09100000,0.03465545,Status: Arc Flash,Status: Arc Flash,Sesuai
2.39,121.55,0.08000000,149.77,90.29,0.09000000,0.03423449,Status: Arc Flash,Status: Arc Flash,Sesuai
2.68,31.33,0.06000000,147.66,91.79,0.09020000,0.03402881,Status: Arc Flash,Status: Arc Flash,Sesuai
2.97,280.97,0.05000000,148.86,93.12,0.09040000,0.03376152,Status: Arc Flash,Status: Arc Flash,Sesuai
3.26,297.90,0.07000000,150.90,95.23,0.09000000,0.03388215,Status: Arc Flash,Status: Arc Flash,Sesuai
3.55,110.56,0.14000000,148.29,94.50,0.09140000,0.03446796,Status: Arc Flash,Status: Arc Flash,Sesuai
3.83,177.77,0.05000000,150.87,93.50,0.09020000,0.03484193,Status: Arc Flash,Status: Arc Flash,Sesuai
4.07,82.28,0.09000000,151.26,93.17,0.08920000,0.03410806,Status: Arc Flash,Status: Arc Flash,Sesuai
4.34,161.32,0.11000000,152.92,92.60,0.08960000,0.03423215,Status: Arc Flash,Status: Arc Flash,Sesuai
4.60,137.82,0.08000000,154.66,91.47,0.08940000,0.03425843,Status: Arc Flash,Status: Arc Flash,Sesuai
4.88,154.96,0.11000000,155.27,91.37,0.09040000,0.03411510,Status: Arc Flash,Status: Arc Flash,Sesuai
5.12,226.92,0.11000000,159.26,90.05,0.09020000,0.03396999,Status: Arc Flash,Status: Arc Flash,Sesuai
5.35,3.22,0.05000000,154.17,91.52,0.08980000,0.03432142,Status: Arc Flash,Status: Arc Flash,Sesuai
5.64,127.73,0.04000000,155.07,91.03,0.08860000,0.03498628,Status: Arc Flash,Status: Arc Flash,Sesuai
5.90,220.08,0.13000000,158.06,90.66,0.09000000,0.03521363,Status: Arc Flash,Status: Arc Flash,Sesuai
6.19,264.00,0.13000000,163.09,89.40,0.09040000,0.03555053,Status: Arc Flash,Status: Arc Flash,Sesuai
6.44,33.75,0.10000000,158.92,90.47,0.09020000,0.03546773,Status: Arc Flash,Status: Arc Flash,Sesuai
6.69,233.27,0.15000000,158.37,89.93,0.09200000,0.03616628,Status: Arc Flash,Status: Arc Flash,Sesuai
6.93,10.42,0.08000000,155.35,92.29,0.09080000,0.03554378,Status: Arc Flash,Status: Arc Flash,Sesuai
7.18,82.55,0.15000000,152.95,92.59,0.09140000,0.03627727,Status: Arc Flash,Status: Arc Flash,Sesuai
7.44,283.62,0.12000000,153.51,93.29,0.09200000,0.03649658,Status: Arc Flash,Status: Arc Flash,Sesuai
7.66,14.13,0.05000000,152.75,94.26,0.09160000,0.03684345,Status: Arc Flash,Status: Arc Flash,Sesuai
7.93,169.74,0.09000000,150.17,91.96,0.09100000,0.03661967,Status: Arc Flash,Status: Arc Flash,Sesuai
8.19,242.76,0.05000000,152.07,92.87,0.09060000,0.03695457,Status: Arc Flash,Status: Arc Flash,Sesuai
8.47,10.55,0.06000000,150.92,94.26,0.09100000,0.03651027,Status: Arc Flash,Status: Arc Flash,Sesuai
8.75,190.93,0.08000000,149.13,92.62,0.09060000,0.03651904,Status: Arc Flash,Status: Arc Flash,Sesuai
8.98,23.10,0.11000000,148.69,93.17,0.09220000,0.03556909,Status: Arc Flash,Status: Arc Flash,Sesuai
9.28,96.39,0.04000000,149.03,92.94,0.09220000,0.03556909,Status: Arc Flash,Status: Arc Flash,Sesuai
9.50,41.09,0.06000000,147.10,94.15,0.09260000,0.03508903,Status: Arc Flash,Status: Arc Flash,Sesuai
9.77,235.01,0.10000000,150.54,94.15,0.09280000,0.03510214,Status: Arc Flash,Status: Arc Flash,Sesuai
10.04,259.63,0.11000000,154.91,94.05,0.09320000,0.03518181,Status: Arc Flash,Status: Arc Flash,Sesuai
10.27,162.04,0.03000000,156.65,93.36,0.09120000,0.03586865,Status: Arc Flash,Status: Arc Flash,Sesuai
10.52,20.35,0.10000000,153.04,95.05,0.09080000,0.03565614,Status: Arc Flash,Status: Arc Flash,Sesuai
10.74,159.68,0.05000000,150.54,93.19,0.08880000,0.03507934,Status: Arc Flash,Status: Arc Flash,Sesuai
11.03,0.00,0.00000000,145.03,93.78,0.08700000,0.03721559,Status: Arc Flash,Status: Off Contact,Tidak Sesuai
11.30,0.00,0.00000000,143.21,95.67,0.08440000,0.03863470,Status: Arc Flash,Status: Off Contact,Tidak Sesuai
11.55,0.00,0.00000000,143.18,95.72,0.08360000,0.03993795,Status: Arc Flash,Status: Off Contact,Tidak Sesuai
11.80,0.00,0.00000000,141.57,97.42,0.08180000,0.04160240,Status: Arc Flash,Status: Off Contact,Tidak Sesuai
