Waktu Relatif (detik),Tegangan (V),Arus (A),Mean Tegangan (V),Std Dev Tegangan (V),Mean Arus (A),Std Dev Arus (A),Output Sistem Aktual,Output Sistem yang Diharapkan,Akurasi
0.28,266.03,0.05000000,266.46,0.57,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
0.51,266.17,0.05000000,266.46,0.58,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
0.77,266.37,0.05000000,266.48,0.54,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
1.05,266.27,0.05000000,266.47,0.54,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
1.29,266.40,0.05000000,266.47,0.54,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
1.58,266.32,0.05000000,266.47,0.54,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
1.84,266.85,0.05000000,266.47,0.53,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
2.09,267.03,0.05000000,266.47,0.54,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
2.34,266.34,0.05000000,266.45,0.53,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
2.63,266.17,0.05000000,266.44,0.53,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
2.90,266.43,0.05000000,266.44,0.53,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
3.15,266.57,0.05000000,266.43,0.52,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
3.40,266.51,0.05000000,266.44,0.51,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
3.65,266.74,0.05000000,266.46,0.50,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
3.93,266.58,0.05000000,266.46,0.50,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
4.18,266.45,0.05000000,266.47,0.50,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
4.42,266.02,0.05000000,266.45,0.49,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
4.72,267.77,0.05000000,266.48,0.52,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
5.01,266.89,0.05000000,266.49,0.53,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
5.28,267.40,0.05000000,266.50,0.54,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
5.57,266.14,0.05000000,266.50,0.54,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
5.86,266.56,0.05000000,266.49,0.54,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
6.11,267.57,0.05000000,266.52,0.56,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
6.37,266.70,0.05000000,266.52,0.56,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
6.64,266.67,0.05000000,266.52,0.56,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
6.87,266.88,0.05000000,266.52,0.56,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
7.16,111.19,0.10000000,263.40,21.75,0.05100000,0.00700000,Status: Normal,Status: Arc Flash,Tidak Sesuai
7.44,178.49,0.13000000,261.66,24.78,0.05260000,0.01308587,Status: Normal,Status: Arc Flash,Tidak Sesuai
7.67,97.98,0.10000000,258.27,33.73,0.05360000,0.01466424,Status: Normal,Status: Arc Flash,Tidak Sesuai
7.92,175.89,0.10000000,256.45,35.62,0.05460000,0.01602623,Status: Normal,Status: Arc Flash,Tidak Sesuai
8.16,287.12,0.10000000,256.87,35.85,0.05560000,0.01722324,Status: Normal,Status: Arc Flash,Tidak Sesuai
8.40,176.54,0.14000000,255.09,37.55,0.05740000,0.02086241,Status: Arc Flash,Status: Arc Flash,Sesuai
8.65,295.62,0.06000000,255.67,37.95,0.05760000,0.02083843,Status: Arc Flash,Status: Arc Flash,Sesuai
8.91,233.71,0.13000000,255.02,38.04,0.05920000,0.02313785,Status: Arc Flash,Status: Arc Flash,Sesuai
9.21,55.40,0.07000000,250.79,47.15,0.05960000,0.02314822,Status: Arc Flash,Status: Arc Flash,Sesuai
9.49,181.80,0.08000000,249.10,48.07,0.06020000,0.02328003,Status: Arc Flash,Status: Arc Flash,Sesuai
9.76,96.30,0.14000000,245.71,52.54,0.06200000,0.02576820,Status: Arc Flash,Status: Arc Flash,Sesuai
10.01,228.82,0.06000000,244.97,52.51,0.06220000,0.02571303,Status: Arc Flash,Status: Arc Flash,Sesuai
10.28,261.59,0.14000000,244.85,52.47,0.06400000,0.02785678,Status: Arc Flash,Status: Arc Flash,Sesuai
10.54,276.72,0.15000000,245.06,52.57,0.06600000,0.03026549,Status: Arc Flash,Status: Arc Flash,Sesuai
10.78,216.28,0.05000000,244.05,52.63,0.06600000,0.03026549,Status: Arc Flash,Status: Arc Flash,Sesuai
11.07,164.54,0.05000000,242.01,53.69,0.06600000,0.03026549,Status: Arc Flash,Status: Arc Flash,Sesuai
11.35,137.92,0.06000000,239.42,55.49,0.06620000,0.03019205,Status: Arc Flash,Status: Arc Flash,Sesuai
11.62,85.69,0.13000000,235.82,59.37,0.06780000,0.03138726,Status: Arc Flash,Status: Arc Flash,Sesuai
11.91,267.79,0.14000000,235.86,59.40,0.06960000,0.03286092,Status: Arc Flash,Status: Arc Flash,Sesuai
12.17,69.53,0.11000000,231.92,63.61,0.07080000,0.03321686,Status: Arc Flash,Status: Arc Flash,Sesuai
12.46,265.10,0.05000000,231.90,63.60,0.07080000,0.03321686,Status: Arc Flash,Status: Arc Flash,Sesuai
12.75,43.00,0.04000000,227.43,68.67,0.07060000,0.03337125,Status: Arc Flash,Status: Arc Flash,Sesuai
12.99,231.04,0.07000000,226.74,68.45,0.07100000,0.03324154,Status: Arc Flash,Status: Arc Flash,Sesuai
13.25,263.94,0.11000000,226.68,68.42,0.07220000,0.03354340,Status: Arc Flash,Status: Arc Flash,Sesuai
13.48,120.66,0.04000000,223.77,69.76,0.07200000,0.03370460,Status: Arc Flash,Status: Arc Flash,Sesuai
13.70,51.17,0.08000000,219.47,73.54,0.07260000,0.03357440,Status: Arc Flash,Status: Arc Flash,Sesuai
13.95,255.92,0.12000000,219.26,73.42,0.07400000,0.03405877,Status: Arc Flash,Status: Arc Flash,Sesuai
14.17,134.51,0.05000000,216.62,74.04,0.07400000,0.03405877,Status: Arc Flash,Status: Arc Flash,Sesuai
14.41,211.91,0.08000000,215.54,73.70,0.07460000,0.03389454,Status: Arc Flash,Status: Arc Flash,Sesuai
14.65,282.70,0.07000000,215.86,73.97,0.07500000,0.03371943,Status: Arc Flash,Status: Arc Flash,Sesuai
14.90,251.80,0.06000000,215.56,73.79,0.07520000,0.03360000,Status: Arc Flash,Status: Arc Flash,Sesuai
15.14,272.71,0.07000000,215.68,73.87,0.07560000,0.03341616,Status: Arc Flash,Status: Arc Flash,Sesuai
15.41,131.59,0.03000000,212.98,74.43,0.07520000,0.03383726,Status: Arc Flash,Status: Arc Flash,Sesuai
15.66,36.21,0.03000000,208.38,78.02,0.07480000,0.03424850,Status: Arc Flash,Status: Arc Flash,Sesuai
15.92,277.57,0.04000000,208.60,78.20,0.07460000,0.03442150,Status: Arc Flash,Status: Arc Flash,Sesuai
