Waktu Relatif (detik),Tegangan (V),Arus (A),Mean Tegangan (V),Std Dev Tegangan (V),Mean Arus (A),Std Dev Arus (A),Output Sistem Aktual,Output Sistem yang Diharapkan,Akurasi
0.25,266.15,0.05000000,266.63,0.42,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
0.53,266.72,0.05000000,266.62,0.41,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
0.76,266.99,0.05000000,266.64,0.40,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
1.06,266.63,0.05000000,266.64,0.40,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
1.30,267.06,0.05000000,266.65,0.41,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
1.60,265.94,0.05000000,266.63,0.42,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
1.87,266.19,0.05000000,266.65,0.38,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
2.14,266.24,0.05000000,266.64,0.39,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
2.39,267.08,0.05000000,266.63,0.37,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
2.63,266.60,0.05000000,266.63,0.37,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
2.92,267.69,0.05000000,266.64,0.39,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
3.15,265.76,0.05000000,266.62,0.41,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
3.44,266.23,0.05000000,266.61,0.41,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
3.66,265.40,0.05000000,266.59,0.45,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
3.90,266.34,0.05000000,266.58,0.45,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
4.12,266.53,0.05000000,266.59,0.44,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
4.39,266.26,0.05000000,266.57,0.44,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
4.63,265.84,0.05000000,266.56,0.45,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
4.92,266.02,0.05000000,266.55,0.46,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
5.20,266.56,0.05000000,266.55,0.46,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
5.47,266.59,0.05000000,266.55,0.46,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
5.70,267.29,0.05000000,266.57,0.47,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
5.94,267.34,0.05000000,266.59,0.48,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
6.19,267.12,0.05000000,266.60,0.48,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
6.46,266.68,0.05000000,266.59,0.48,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
6.72,266.64,0.05000000,266.58,0.47,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
6.99,266.84,0.05000000,266.58,0.47,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
7.27,266.87,0.05000000,266.57,0.47,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
7.55,266.25,0.05000000,266.56,0.47,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
7.82,265.86,0.05000000,266.53,0.47,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
8.10,266.67,0.05000000,266.54,0.47,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
8.35,266.35,0.05000000,266.53,0.47,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
8.65,266.12,0.05000000,266.53,0.47,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
8.88,266.64,0.05000000,266.53,0.47,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
9.12,266.24,0.05000000,266.52,0.47,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
9.39,266.28,0.05000000,266.52,0.47,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
9.62,266.50,0.05000000,266.51,0.46,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
9.89,266.40,0.05000000,266.51,0.46,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
10.11,266.82,0.05000000,266.52,0.46,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
10.34,267.16,0.05000000,266.51,0.45,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
10.63,266.55,0.05000000,266.51,0.45,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
10.92,265.34,0.05000000,266.49,0.48,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
11.16,265.97,0.05000000,266.48,0.48,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
