Waktu Relatif (detik),Tegangan (V),Arus (A),Mean Tegangan (V),Std Dev Tegangan (V),Mean Arus (A),Std Dev Arus (A),Output Sistem Aktual,Output Sistem yang Diharapkan,Akurasi
0.25,265.97,0.05000000,266.50,0.57,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
0.54,266.87,0.05000000,266.50,0.57,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
0.83,266.17,0.05000000,266.50,0.58,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
1.08,266.52,0.05000000,266.49,0.57,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
1.32,266.56,0.05000000,266.51,0.55,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
1.59,267.20,0.05000000,266.52,0.56,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
1.88,266.18,0.05000000,266.53,0.55,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
2.16,267.03,0.05000000,266.55,0.55,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
2.41,266.23,0.05000000,266.53,0.53,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
2.67,267.15,0.05000000,266.54,0.54,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
2.91,265.67,0.05000000,266.51,0.55,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
3.18,266.60,0.05000000,266.50,0.55,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
3.43,266.26,0.05000000,266.49,0.55,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
3.66,267.04,0.05000000,266.52,0.54,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
3.95,267.96,0.05000000,266.55,0.58,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
4.22,266.26,0.05000000,266.54,0.58,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
4.52,266.46,0.05000000,266.54,0.58,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
4.78,265.35,0.05000000,266.51,0.60,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
5.01,267.10,0.05000000,266.53,0.61,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
5.27,266.50,0.05000000,266.52,0.60,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
5.51,266.05,0.05000000,266.49,0.60,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
5.80,266.97,0.05000000,266.50,0.60,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
6.07,266.94,0.05000000,266.53,0.59,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
6.34,266.09,0.05000000,266.51,0.59,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
6.62,266.92,0.05000000,266.52,0.59,0.05000000,0.00000000,Status: Normal,Status: Normal,Sesuai
