Waktu Relatif (detik),Tegangan (V),Arus (A),Mean Tegangan (V),Std Dev Tegangan (V),Mean Arus (A),Std Dev Arus (A),Output Sistem Aktual,Output Sistem yang Diharapkan,Akurasi
0.27,58.69,0.04000000,158.74,85.63,0.08600000,0.03878144,Status: Arc Flash,Status: Arc Flash,Sesuai
0.53,37.26,0.09000000,156.17,87.30,0.08520000,0.03827480,Status: Arc Flash,Status: Arc Flash,Sesuai
0.83,33.89,0.13000000,154.93,88.57,0.08500000,0.03801316,Status: Arc Flash,Status: Arc Flash,Sesuai
1.12,114.58,0.06000000,155.72,88.03,0.08480000,0.03811771,Status: Arc Flash,Status: Arc Flash,Sesuai
1.34,284.37,0.05000000,157.30,89.60,0.08420000,0.03842343,Status: Arc Flash,Status: Arc Flash,Sesuai
1.61,253.77,0.10000000,159.43,90.59,0.08540000,0.03795840,Status: Arc Flash,Status: Arc Flash,Sesuai
1.89,204.22,0.11000000,157.63,88.76,0.08600000,0.03810512,Status: Arc Flash,Status: Arc Flash,Sesuai
2.12,293.08,0.06000000,161.18,90.54,0.08460000,0.03774705,Status: Arc Flash,Status: Arc Flash,Sesuai
2.36,192.73,0.11000000,160.60,90.24,0.08400000,0.03709447,Status: Arc Flash,Status: Arc Flash,Sesuai
2.64,32.25,0.04000000,160.67,90.14,0.08420000,0.03682879,Status: Arc Flash,Status: Arc Flash,Sesuai
2.90,237.45,0.13000000,165.21,88.15,0.08560000,0.03721075,Status: Arc Flash,Status: Arc Flash,Sesuai
3.17,1.34,0.11000000,161.40,90.99,0.08540000,0.03705186,Status: Arc Flash,Status: Arc Flash,Sesuai
3.43,70.74,0.14000000,158.55,91.55,0.08660000,0.03782116,Status: Arc Flash,Status: Arc Flash,Sesuai
3.65,109.34,0.14000000,160.07,90.07,0.08780000,0.03853777,Status: Arc Flash,Status: Arc Flash,Sesuai
3.94,1.82,0.12000000,156.65,92.73,0.08880000,0.03871124,Status: Arc Flash,Status: Arc Flash,Sesuai
4.21,188.73,0.08000000,155.92,92.33,0.08980000,0.03781481,Status: Arc Flash,Status: Arc Flash,Sesuai
4.48,25.42,0.09000000,152.47,93.90,0.08920000,0.03756807,Status: Arc Flash,Status: Arc Flash,Sesuai
4.72,38.82,0.13000000,152.42,93.96,0.08880000,0.03702108,Status: Arc Flash,Status: Arc Flash,Sesuai
4.98,115.52,0.14000000,153.66,93.06,0.09040000,0.03746785,Status: Arc Flash,Status: Arc Flash,Sesuai
5.28,264.49,0.11000000,155.73,94.34,0.08960000,0.03660382,Status: Arc Flash,Status: Arc Flash,Sesuai
5.57,164.61,0.14000000,155.95,94.35,0.09160000,0.03657103,Status: Arc Flash,Status: Arc Flash,Sesuai
5.83,8.87,0.06000000,152.39,96.45,0.09220000,0.03579330,Status: Arc Flash,Status: Arc Flash,Sesuai
6.10,3.86,0.09000000,148.64,98.48,0.09200000,0.03577709,Status: Arc Flash,Status: Arc Flash,Sesuai
6.39,124.86,0.10000000,147.66,98.47,0.09180000,0.03570378,Status: Arc Flash,Status: Arc Flash,Sesuai
6.65,131.75,0.14000000,145.97,98.01,0.09200000,0.03594440,Status: Arc Flash,Status: Arc Flash,Sesuai
6.88,292.56,0.11000000,149.82,99.89,0.09200000,0.03594440,Status: Arc Flash,Status: Arc Flash,Sesuai
7.15,123.85,0.10000000,146.41,97.80,0.09140000,0.03555334,Status: Arc Flash,Status: Arc Flash,Sesuai
7.38,65.87,0.05000000,146.36,97.83,0.09160000,0.03529079,Status: Arc Flash,Status: Arc Flash,Sesuai
7.63,266.96,0.05000000,147.57,98.94,0.09120000,0.03564492,Status: Arc Flash,Status: Normal,Tidak Sesuai
7.89,266.27,0.05000000,147.98,99.39,0.09160000,0.03506337,Status: Arc Flash,Status: Normal,Tidak Sesuai
8.13,266.56,0.05000000,148.37,99.81,0.08980000,0.03484193,Status: Arc Flash,Status: Normal,Tidak Sesuai
8.36,266.46,0.05000000,148.43,99.88,0.08840000,0.03500629,Status: Arc Flash,Status: Normal,Tidak Sesuai
8.66,266.41,0.05000000,148.86,100.35,0.08800000,0.03532704,Status: Arc Flash,Status: Normal,Tidak Sesuai
8.89,267.10,0.05000000,151.81,101.60,0.08780000,0.03551281,Status: Arc Flash,Status: Normal,Tidak Sesuai
9.17,266.60,0.05000000,153.89,102.86,0.08760000,0.03569650,Status: Arc Flash,Status: Normal,Tidak Sesuai
9.43,266.14,0.05000000,156.23,104.05,0.08640000,0.03593105,Status: Arc Flash,Status: Normal,Tidak Sesuai
9.72,266.97,0.05000000,155.90,103.68,0.08600000,0.03622154,Status: Arc Flash,Status: Normal,Tidak Sesuai
10.02,266.88,0.05000000,159.45,104.38,0.08440000,0.03600889,Status: Arc Flash,Status: Normal,Tidak Sesuai
10.31,266.23,0.05000000,159.85,104.74,0.08280000,0.03572338,Status: Arc Flash,Status: Normal,Tidak Sesuai
10.59,266.21,0.05000000,164.04,104.73,0.08180000,0.03592715,Status: Arc Flash,Status: Normal,Tidak Sesuai
10.86,267.63,0.05000000,168.90,103.78,0.08040000,0.03577485,Status: Arc Flash,Status: Normal,Tidak Sesuai
11.11,268.13,0.05000000,168.96,103.85,0.07960000,0.03599778,Status: Arc Flash,Status: Normal,Tidak Sesuai
