Waktu Relatif (detik),Tegangan (V),Arus (A),Mean Tegangan (V),Std Dev Tegangan (V),Mean Arus (A),Std Dev Arus (A),Output Sistem Aktual,Output Sistem yang Diharapkan,Akurasi
0.27,35.69,0.13000000,143.56,85.04,0.09380000,0.03643570,Status: Arc Flash,Status: Arc Flash,Sesuai
0.56,233.78,0.08000000,146.37,85.65,0.09320000,0.03641099,Status: Arc Flash,Status: Arc Flash,Sesuai
0.81,54.79,0.06000000,142.72,85.59,0.09220000,0.03662185,Status: Arc Flash,Status: Arc Flash,Sesuai
1.10,285.91,0.11000000,143.28,86.43,0.09280000,0.03666279,Status: Arc Flash,Status: Arc Flash,Sesuai
1.38,104.45,0.10000000,142.15,86.56,0.09340000,0.03652999,Status: Arc Flash,Status: Arc Flash,Sesuai
1.61,96.12,0.13000000,140.54,86.65,0.09360000,0.03670204,Status: Arc Flash,Status: Arc Flash,Sesuai
1.91,176.23,0.06000000,143.05,85.83,0.09200000,0.03638681,Status: Arc Flash,Status: Arc Flash,Sesuai
2.16,251.67,0.13000000,146.87,86.33,0.09180000,0.03614914,Status: Arc Flash,Status: Arc Flash,Sesuai
2.46,265.57,0.06000000,149.81,87.80,0.09240000,0.03535873,Status: Arc Flash,Status: Arc Flash,Sesuai
2.73,199.51,0.03000000,152.98,86.68,0.09060000,0.03618895,Status: Arc Flash,Status: Arc Flash,Sesuai
2.95,239.12,0.05000000,156.67,86.34,0.09080000,0.03593550,Status: Arc Flash,Status: Arc Flash,Sesuai
3.22,289.18,0.03000000,158.22,88.00,0.08960000,0.03693020,Status: Arc Flash,Status: Arc Flash,Sesuai
3.50,39.32,0.04000000,154.28,88.82,0.08840000,0.03754251,Status: Arc Flash,Status: Arc Flash,Sesuai
3.77,137.32,0.06000000,155.53,88.12,0.08760000,0.03771260,Status: Arc Flash,Status: Arc Flash,Sesuai
4.00,20.06,0.12000000,154.21,89.64,0.08820000,0.03798368,Status: Arc Flash,Status: Arc Flash,Sesuai
4.27,137.70,0.14000000,151.02,87.31,0.09000000,0.03826225,Status: Arc Flash,Status: Arc Flash,Sesuai
4.54,147.14,0.07000000,153.62,85.19,0.09060000,0.03770464,Status: Arc Flash,Status: Arc Flash,Sesuai
4.78,192.15,0.06000000,155.05,85.23,0.08880000,0.03696701,Status: Arc Flash,Status: Arc Flash,Sesuai
5.08,138.05,0.04000000,154.64,85.26,0.08760000,0.03755316,Status: Arc Flash,Status: Arc Flash,Sesuai
5.31,192.30,0.08000000,155.80,85.37,0.08760000,0.03755316,Status: Arc Flash,Status: Arc Flash,Sesuai
5.59,113.98,0.06000000,156.04,85.24,0.08620000,0.03724997,Status: Arc Flash,Status: Arc Flash,Sesuai
