Waktu Relatif (detik),Tegangan (V),Arus (A),Mean Tegangan (V),Std Dev Tegangan (V),Mean Arus (A),Std Dev Arus (A),Output Sistem Aktual,Output Sistem yang Diharapkan,Akurasi
0.27,9.27,0.06000000,175.44,79.59,0.08120000,0.03433016,Status: Arc Flash,Status: Arc Flash,Sesuai
0.54,133.94,0.07000000,172.52,78.36,0.08100000,0.03436568,Status: Arc Flash,Status: Arc Flash,Sesuai
0.79,23.81,0.07000000,169.89,81.05,0.08000000,0.03394113,Status: Arc Flash,Status: Arc Flash,Sesuai
1.09,7.40,0.11000000,165.77,83.92,0.08060000,0.03420000,Status: Arc Flash,Status: Arc Flash,Sesuai
1.35,269.34,0.05000000,165.23,83.15,0.08080000,0.03399059,Status: Arc Flash,Status: Arc Flash,Sesuai
1.60,70.72,0.08000000,161.36,82.97,0.08180000,0.03320783,Status: Arc Flash,Status: Arc Flash,Sesuai
1.88,296.65,0.06000000,162.80,84.65,0.08020000,0.03227941,Status: Arc Flash,Status: Arc Flash,Sesuai
2.11,108.56,0.14000000,159.91,83.99,0.08160000,0.03330826,Status: Arc Flash,Status: Arc Flash,Sesuai
2.35,201.00,0.11000000,160.08,84.06,0.08240000,0.03349985,Status: Arc Flash,Status: Arc Flash,Sesuai
2.60,193.05,0.14000000,159.78,83.92,0.08440000,0.03389159,Status: Arc Flash,Status: Arc Flash,Sesuai
2.83,238.09,0.04000000,159.63,83.77,0.08420000,0.03412272,Status: Arc Flash,Status: Arc Flash,Sesuai
3.10,236.67,0.08000000,160.46,84.32,0.08320000,0.03349269,Status: Arc Flash,Status: Arc Flash,Sesuai
3.35,30.04,0.13000000,155.82,84.99,0.08300000,0.03318132,Status: Arc Flash,Status: Arc Flash,Sesuai
3.59,65.15,0.07000000,156.14,84.63,0.08180000,0.03253859,Status: Arc Flash,Status: Arc Flash,Sesuai
3.82,294.24,0.08000000,161.38,84.90,0.08200000,0.03249615,Status: Arc Flash,Status: Arc Flash,Sesuai
4.11,248.85,0.10000000,160.71,84.08,0.08200000,0.03249615,Status: Arc Flash,Status: Arc Flash,Sesuai
4.34,91.29,0.10000000,159.81,84.57,0.08200000,0.03249615,Status: Arc Flash,Status: Arc Flash,Sesuai
4.57,52.00,0.11000000,160.47,83.60,0.08360000,0.03185969,Status: Arc Flash,Status: Arc Flash,Sesuai
4.82,235.85,0.04000000,163.82,83.20,0.08260000,0.03242283,Status: Arc Flash,Status: Arc Flash,Sesuai
5.08,293.94,0.11000000,166.51,85.16,0.08320000,0.03264598,Status: Arc Flash,Status: Arc Flash,Sesuai
5.33,282.46,0.03000000,167.20,85.96,0.08300000,0.03293934,Status: Arc Flash,Status: Arc Flash,Sesuai
5.58,185.66,0.09000000,166.84,85.84,0.08360000,0.03278780,Status: Arc Flash,Status: Arc Flash,Sesuai
5.86,137.83,0.13000000,168.46,84.51,0.08460000,0.03341916,Status: Arc Flash,Status: Arc Flash,Sesuai
6.14,193.55,0.13000000,171.09,83.20,0.08640000,0.03339221,Status: Arc Flash,Status: Arc Flash,Sesuai
6.44,182.61,0.08000000,170.29,82.89,0.08680000,0.03319277,Status: Arc Flash,Status: Arc Flash,Sesuai
6.72,96.85,0.11000000,167.48,82.96,0.08740000,0.03333527,Status: Arc Flash,Status: Arc Flash,Sesuai
6.97,291.50,0.07000000,171.87,83.60,0.08600000,0.03255764,Status: Arc Flash,Status: Arc Flash,Sesuai
7.26,282.25,0.09000000,174.05,85.01,0.08620000,0.03255088,Status: Arc Flash,Status: Arc Flash,Sesuai
7.49,63.72,0.07000000,173.05,86.00,0.08640000,0.03241975,Status: Arc Flash,Status: Arc Flash,Sesuai
7.74,251.30,0.13000000,173.69,86.46,0.08720000,0.03298727,Status: Arc Flash,Status: Arc Flash,Sesuai
8.01,266.41,0.05000000,174.36,87.05,0.08660000,0.03338323,Status: Arc Flash,Status: Normal,Tidak Sesuai
8.25,267.39,0.05000000,174.52,87.20,0.08700000,0.03281768,Status: Arc Flash,Status: Normal,Tidak Sesuai
8.49,266.47,0.05000000,175.90,88.10,0.08540000,0.03263189,Status: Arc Flash,Status: Normal,Tidak Sesuai
8.76,266.68,0.05000000,176.57,88.66,0.08460000,0.03299758,Status: Arc Flash,Status: Normal,Tidak Sesuai
9.05,266.93,0.05000000,176.09,88.10,0.08460000,0.03299758,Status: Arc Flash,Status: Normal,Tidak Sesuai
9.30,266.62,0.05000000,176.70,88.61,0.08380000,0.03334007,Status: Arc Flash,Status: Normal,Tidak Sesuai
9.59,266.70,0.05000000,177.16,89.02,0.08180000,0.03229179,Status: Arc Flash,Status: Normal,Tidak Sesuai
9.83,267.27,0.05000000,179.78,89.70,0.08200000,0.03206244,Status: Arc Flash,Status: Normal,Tidak Sesuai
10.09,266.75,0.05000000,179.30,89.17,0.08040000,0.03162025,Status: Arc Flash,Status: Normal,Tidak Sesuai
10.33,266.81,0.05000000,181.14,90.00,0.07940000,0.03177483,Status: Arc Flash,Status: Normal,Tidak Sesuai
10.62,266.07,0.05000000,182.86,90.78,0.07900000,0.03201562,Status: Arc Flash,Status: Normal,Tidak Sesuai
10.87,265.89,0.05000000,186.35,90.56,0.07840000,0.03227135,Status: Arc Flash,Status: Normal,Tidak Sesuai
11.09,267.09,0.05000000,190.30,89.68,0.07820000,0.03241543,Status: Arc Flash,Status: Normal,Tidak Sesuai
11.38,266.90,0.05000000,193.51,89.49,0.07820000,0.03241543,Status: Arc Flash,Status: Normal,Tidak Sesuai
11.62,266.58,0.05000000,196.28,89.57,0.07660000,0.03178742,Status: Arc Flash,Status: Normal,Tidak Sesuai
11.88,266.34,0.05000000,198.93,89.64,0.07560000,0.03182200,Status: Arc Flash,Status: Normal,Tidak Sesuai
12.17,267.18,0.05000000,201.13,89.94,0.07600000,0.03136877,Status: Normal,Status: Normal,Sesuai
12.44,267.04,0.05000000,201.78,90.29,0.07620000,0.03116986,Status: Normal,Status: Normal,Sesuai
12.68,266.55,0.05000000,205.11,89.55,0.07500000,0.03100000,Status: Normal,Status: Normal,Sesuai
12.96,265.76,0.05000000,208.02,89.11,0.07360000,0.03051295,Status: Normal,Status: Normal,Sesuai
13.24,266.37,0.05000000,213.16,84.80,0.07340000,0.03063397,Status: Normal,Status: Normal,Sesuai
13.50,266.96,0.05000000,215.82,84.36,0.07300000,0.03080584,Status: Normal,Status: Normal,Sesuai
13.77,266.52,0.05000000,220.68,80.05,0.07260000,0.03097160,Status: Normal,Status: Normal,Sesuai
14.03,266.40,0.05000000,225.86,74.25,0.07140000,0.03066007,Status: Normal,Status: Normal,Sesuai
14.29,266.63,0.05000000,225.80,74.22,0.07140000,0.03066007,Status: Normal,Status: Normal,Sesuai
14.54,267.09,0.05000000,229.73,71.03,0.07080000,0.03077921,Status: Normal,Status: Normal,Sesuai
14.81,266.95,0.05000000,229.14,70.59,0.07060000,0.03088106,Status: Normal,Status: Normal,Sesuai
15.09,266.37,0.05000000,232.29,68.63,0.06880000,0.02936937,Status: Normal,Status: Normal,Sesuai
15.32,265.84,0.05000000,233.59,68.64,0.06760000,0.02888321,Status: Normal,Status: Normal,Sesuai
15.57,265.95,0.05000000,235.05,68.54,0.06580000,0.02706215,Status: Normal,Status: Normal,Sesuai
15.87,266.58,0.05000000,235.62,68.68,0.06600000,0.02690725,Status: Normal,Status: Normal,Sesuai
16.13,266.60,0.05000000,236.22,68.82,0.06540000,0.02692285,Status: Normal,Status: Normal,Sesuai
16.41,266.08,0.05000000,240.94,62.30,0.06380000,0.02536848,Status: Normal,Status: Normal,Sesuai
16.65,266.02,0.05000000,244.95,57.09,0.06340000,0.02542518,Status: Normal,Status: Normal,Sesuai
16.93,266.62,0.05000000,244.40,56.75,0.06280000,0.02538031,Status: Normal,Status: Normal,Sesuai
17.17,265.34,0.05000000,244.73,56.82,0.06180000,0.02487489,Status: Normal,Status: Normal,Sesuai
17.44,266.53,0.05000000,248.24,52.49,0.06080000,0.02431789,Status: Normal,Status: Normal,Sesuai
17.71,266.86,0.05000000,252.53,44.42,0.05960000,0.02332038,Status: Normal,Status: Normal,Sesuai
17.95,267.53,0.05000000,253.17,44.40,0.05980000,0.02319396,Status: Normal,Status: Normal,Sesuai
18.18,267.05,0.05000000,252.63,44.07,0.05860000,0.02209163,Status: Normal,Status: Normal,Sesuai
18.43,266.29,0.05000000,252.31,43.91,0.05900000,0.02174856,Status: Normal,Status: Normal,Sesuai
18.66,266.35,0.05000000,253.92,42.90,0.05820000,0.02132510,Status: Normal,Status: Normal,Sesuai
18.89,266.23,0.05000000,256.49,39.59,0.05660000,0.01872004,Status: Normal,Status: Normal,Sesuai
19.16,266.12,0.05000000,257.94,38.57,0.05500000,0.01552417,Status: Normal,Status: Normal,Sesuai
